Text,Year,Sale
Wedding cards ,1875,0
"Caution. At this season of the year, while the system is undergoing a radical change, a world of trouble could be saved both as a preventive and ours by the use of a Holman Pad placed over the pit of the stomach for ten to thirty days as the case requires.  ",1879,0
"A visit to the Manhattan Beach surf bathing establishment will satisfy patrons that the facilities for 1881 excel those of previous seasons, all statements to the contrary notwithstanding. Dyspepsia is the costly price we pay for luxuries. Its most potent remedy, however, is found in that efficient and genial touic and alterative, Tarrant's Seltzer aperient. Sold by all druggists.. Winchesters Hypophosphites will cure Consumption, Coughs, Weak Lungs. Broschitis and General Debility. Established 21 years.  Alderney Brand. BUY ALWAYS CONDENSED MILS  ",1881,0
"To Travelers.ãDo not leave the City without a bottle of Dr. Tobias Venetian Liniment. It cures choisera, dysentery, colic, sea-sickness. &c. It Is perfectly innocent to take internally. Over 500 physicians recommend it. Warranted for over thirty-four yean and not a bottle returned. A few drops purifies any water and makes it wholesome to drink. Only 25 and 50 cents per bottle. Sold by all druggists. Dont Die in the House. Ask druggists for Rough on Rats. It clears our rats, mice, roaches, flies, bedbugs. 15c. Rikers Puke Essence of Jamaica Ginger. 25 cents per bottle. Sold everywhere.  ",1881,0
"WiameesersirBria.mmeramiemessemessmemsw BEAU -ITZ SCHOOL Olt 1,ANGI3AGES.  NEW-YORK, 23 WEST 23 Ti-ST., (also 11 ARLEM,)  Brooklyn, 41) Court-5t.; Iloston, 154 Tremont.st.i  Phila., 1,523 Chest ntit-st. ; Wallington, 723 14th-lit.  Thorough lt'ain nig in French. ( mina% 5p;utish, fir).  Cop Vertutt jou al knowledge in ono or two torms, from  $111 to $18, in small classes; also private lemmons.  Highest references, Terms begin now.   lierlitz method introduced in other schools gratis,    MRDERN LANGUAGES «         quiekly and idiomatieally spoken by Ilia            MEISTERSCH AFT SYSTEM AT  GASTINEA  SCHOOL OF LANGUAGES,           17 West 421-81., onposite Reservoir.   Superior nal ivo tcochPrs only. (losses. all grades,  Oar and evening, for ladies and gentlemen. Also  private loSSU113. nit, IN BROOKLYN.            Gramercy PARK SCHOOL Reopens Oct. .1. Preparatory, selentitie, and brifd,  ness training. Last June graduates Passed the on.  trance examination (if Stevens and Massaelmmetts  Technological, second year, wit tout cendition, Prac-  tical instruction in the workshop and labm'atorles itt  the afternoon. G. VON TA UBE, Principal. Kinder.  garten and Girls' department, 35 East '21st-mt. :1111it1  A. Webb, Principal. The incorporators of the insti.  tuition are Messrs. A. P. Barnard, A. Webb, Abram  S. Hewitt, Parke Godwin, F. Chandler, E. L. Yen.  mans, It. IfeberNewton, A. Carnegie. F. B. Thurber,  G. Gottheill, N. Lloyd, and Courtlandt Palmer.                         NEV. York            CONSERVATORY OF MUSIC.                       Located only at   5 EAST 14TH.ST., third door east of 5TH-AV.                      Chartered in 1805.   (The FIRST ORGANIZED and best appointed in  America.)   At this FAMOUS SCHOOL OF MUSIC, Elocti-  lion, Foreign Languages, Drawing, and Painting,  students receive UNEQUALED A DVANTAGF,'S,  OPEN DAILY for the RECEPTION of PUPILS.  CLASsEs Volt, LA DIE,- ISPAINTING AND     PHOTOG It A I' II Y.ãIn struct ion riven in oil anti  mineral painting, in various methods of photo-  graphic printing, and in all branches of atruttenn  photography. Open Iron 9 to )2 A. M. and 1 toq,  P. M., except on Tuesday afternoons and Saturdays.  Address Miss NEVI US, Ronin 70, l'raeklin ing, 186 Itenisen-st., Brooklyn, N. Y. Circulars upon  application.         MISS MARY IIA RRIOTT NORRIS,                     087 MADISON-AV.             AT HOVE AFTER SEPT, 26.   Finishing chimes in higher Englimh l'estlinCli 01%  10. Twenty young ladies only received. Ago limit.  oil from 15 to 20. Pupils exclusively under Miss  Norris's Instruction. Members accepted, if satis-  factory, in order of application,            PACKARD'S NIGHT SCHOOL.   The place in the city now where bookkeeping,  penmanship. arithmetic, correspondence, short-  hand, and typewriting are taught is at Packard's,  corner 23Inst. and ,Dieac. Lnok In of an evening  and see the busiest hive of workers in town. Good  light, gond air, delight fill rooms, intelligent, teach-  ers. Get the best. S. S. PA C ICA RD, President.            THE COMA'OCK SCHOOL,                      (Established 1862.)          No. o2 WEST 40T11.ST., NEW- trORK.   Engl lain French, and German Boarding and Day  School for Young Ladies.            Miss DAY in eliargt.                  MRS, SYLVA.'',US REED'S                Boarding mid Day for Toting 1.3,11ns, Nos. 6 and 8 East 53d.st., N. Y.     The seine able staff of Protessa..s and 'Teachers is  retained, with important additions.              24TH YEA R                    OCT. 4.                  CARLISLE' INSTITUTE:. 751 Fifth-ay., (facing central Park,) Now.York.  English, French, and German boarding and nay  school for young ladies and child I ea. Special stn.  dents. Studio. Fifteenth year begins Sept. 27.                        COOKING SCHOOL,                  28 LA FAY Err E-PLACE. Classes for LADIES, Classes for COOKS, Classes  for WOR KING GIRLS. Free classes for girls un-  der 14 years of age. Snecial classes in all branches  plain, advanced, and sick cookery. For terms and   a«thee innt«nation atilt-1y at the so/IOW.   ti,ITERN'S SCHOOL OF LANGUAGES, 27   17 East 44th-st., he «een Madison and 5tl«ava.,   New-York ; 177 and 179 Montague-mt., Brooklyn.              2.115 Chestnut st.. Philadelphia. German, French, Spanish, Italian, Latin, and Greek. I                    call or send fur circular.    For lectures, se,- save' tisement under Lectures.    A ã31IsS LILLIE BERG. HAVING JUsT   .4-3..«returned lrein her concert engagements in Eng-   land, will resume her vecal lessons on MOND '1Y,   ()et, 31. ol'ERA, RATORIo, SONGS in ENG«             FRENCH, MALIAN, and GERMAN   LI EDER. Attliy,11 till 12, except. on Tuesdays and   Fridays, 68 West 30 tinst.    AA VERY ACCOMPLISHED LADY, WHO       delivers lectures on social culture, line_ 601110   spare time, either before schools or to a class of   persons who may desire knowledge of etiquette and   good breeding; terms moderate. A dilre,:s Mrs. A.   IL C., 308 West 23d at.               THE MISSES GRINNELL                       will reopen their              DAY SCHOOL FOR 4;IIMS,                     22 E.IsT SITU-ST.,  Oet. 3.     lints' classes, Sept. '29.        Kindergarten,  Froebel method. (Jet. 10.   AI Rs. GALLAH uit's SCII001. FOR   1TIYOUNG LA D1 ES, 51 West 5211-st., reopens   oct. 3. Greek, Latin, English, Italian. German; a.   thorough French eilucal ion; eourses in the sciences,   mathematics, and drawing, special attention to t_g-   ma«y classes. circulars.    MISS BALLOW'S SCHOOL,                      24 EAST           will reopen on THU US DA Y. Sept. 29.                PRIVATE PR EPA RATIO'S  FOR COLLEGE OR BUSINESS. 11TH YEAR.   tall SEASON OP NEWPoRT SUMMER.   BRA NcH. Circular and rurcrynce. W. S. BLAKE,   163 WEST 361'11-' T., New-York.          ST. JOHN'S                      FOR GIRLS,                21 AND 23 WEST 32 D-ST.          FIFTEENTH A'              it, (J T. 5, 1887. Mrs. THEODORE IRVING.                     «                                    Miss LUCY I. HOWE               VAN NOICII.N IcSTIT(""PE      for Young Ladies and chikirea (founded 1837)          reopens Sept. 29 in ""Morgan Mansion,""              :20 Central Parh, \Vest, at li2d.st.                    Mine. VA N NO ILXIAN, Principal.                                                           --;;A  AIIS!«iES A. .6.7 11. FALCONER PERRIN !!  IT A School for 1 l'IS, gymnasium. .:_intlikyeat  begins Sept 29,2,021 5 th-a v. Boarding Impils...$500  r_TARLEM COLLEGIATE AND SELECT  Ilsehuol for Boys, 2 d. limited 0 1-_a, ; to SC  students. Principal. E. el EAN 11ENAUD.  ru ti E. MISSESGUINN -ILL'S CLASsES FOR   1 BOYS, 22 East 5 toi.at., reopen Sept. 20.                           SPA N Prof. CORTINA, A. 'M., (31;eirtd,) I 1 1 West 34111«8t,      BRANt'll, ""Brooklyn Lit:«ary,"" Montague-st.     Reproduced with permission of the copyright owner. Further reproduction prohibited without permission.  ",1887,0
"Le Boutillier Brother BOADWAY & 14TH-ST.  Balance of Bankrupt Stock of Ladies' Corsets and Undergarments will be closed out at a still Greater Sacrifice. BANKRUPT STOCK, I BLACK SILKS.  CORSET COVERS, ELITE AND HEALTH BUSTLES    .13 25 to 30 different styles of CORSETS, FRENCH HAND-MADE, COUTIL AND WOVEN  .50 FRENCH HAND-EMBROIDERED DRAWERS AND CHEMISES  .47 SATIN CORSETS. HANDMADE, will be closed out at   .69 FRENCH EMBROIDERED GOWNS, hand-made, DOMESTIC GOWNS, all-Over embroidered yoke   .79  SUITS AND WRAPS.  Closing out at a GREAT LOSS last year's MISSES' AND CHILDREN'S NEWS to MARKETS AND CLOAKS  j. I a LADIES' SILK PLUSH WRAPS, $20.00 quality  14.00 LADIES' STRIPED JACKETS, with satin?0 n op lined hoods, $7.00 quality  0.00  DRESS GOODS.  SCOTCH SERGE, all wool, extra heavy and extra wide, all colors, positively worth .850.  .50  50-INCH CLOAKING PLUSH, pure Mo-0 ri hair; worth $7.50.  0.0U 50-INCH SILK  SEAL CLOAKING./ nil PLUSH; worth $12.00.........  ? OU  HOSIERY,  MEN'S BEST ENGLISH CASHMERE HALF HOSE, Novelty Shades, $1.25 nality  .75 MEN'S SCOTCH WOOL HALF HOSE, extra heavy, 85c. quality.  .50 LADIES' BEST ENGLISH CASHMERE HOSE, $1.16 quality  .75  LINENS.  72-inch BLEACHED DOUBLE DAMASK, 'ern fine and heavy, $1.25 quality  . i 0 ki DINNER NAPKINS, heavy and iine,-1 $2.25 quality.   -IL '6 8 EXTRA LARGE DAMASK TOWELS, on .65c. quality.   0.-""ç†  UPHOLSTERY.  500 SMYRNA RUGS, best quality, reduced to.  .89 CHENILLE PORTIERES, $10 quality 7.98  Broadway and Mimi.  750 DiCCOS RICH BLACK DRESS SILKS, EVERY YARD WARRANTED, and worth $2.00   -1- ? 50 pieces BLACK FAILLE FRANCAISE, RADZIMIRS AND ARMURES, reduced 98 to  ? COLORED SILKS.  150 pieces COLORED SURAHS, in even-ing shades, 85c. quality  '69 SMALL LOT COLORED SATIN MER-0 VEILLEUX, $1 quality   ? U  24-inch EXTRA WIDE COLORED GROS GRAIN DRESS SILKS, Dinner costume/ En shades, worth $2.00   VELVETS.  COLORED PRISE 'VELVETS at one-third cost of importation  *50  24-inch BLACK SILK PLUSH, $5.00 quality  3.00  UMBRELLAS,  26-inch VERY BEST SILK, richly-chased E sterling silver, hooked handles, $9 o i 26-inch BUSINESS UMBRELLAS, silk A p. mixed, will wear twice as long as all bilk...1.4.a  LADIES' SHOES.  BRIGHT DONGOLA BUTTON DRESS SHOES, all sizes, $3.50 quality 1.88 MISSES' HEAVY SCHOOL SHOES, all sizes, $2.50 and $3.00 qualities 1.50  UNDERWEAR,  MEN'S PURE NATURAL WOOL UNDER- ft WEAR, $2.00 quality   LADIES' MEDICATED SCARLET CASH. MERE VESTS AND DRAWERS, $1.65 quality 1.19 Complete lines of CARTRIGHT & WARNER'S, MORLEY'S, NORFOLK AND NEW-BRUNS-WICK AND AMERICAN HOSIERY CO.'S UN-DERWEAR in all sizes at VERY LOW PRICES.  BLANKETS,  11.4 CALIFORNIAIBLANKETS, extra fine-Le fl $10.00 quality   ChM/  SILESIA COMFORTABLES, all colors, i 0 0 ? best quality 1..00  Broadway and 14th-st.   ",1887,0
"Knoxs Hats. Pleasing to the head, delightful to the eye, joy to the wearer. On sale _ by the representative hatter _ in every city in the union. ",1888,0
"RACYCLES. NARROW TREAD RACERS, $100. JUST RECEIVED FROM FACTORY. 26 INCH WHEELS. WHEEL BASE, 40 INCH. 20 TEETH IN FRONT SPROCKET. TREAD 4 5-8 INCHES. BALLS 4 INCHES APART. SPROCKET SUSPENDED BETWEEN THE BEARINGS.  ",1896,0
"All the things to wear that a man gets for Xmas, in the sort of patterns hed buy for himself. Neckwear, mufflers, fancy handkerchiefs, dressing gowns, smoking jackets, bath robes, gloves, silk hats, suit cases, hat boxes, canes, scarf pins. Opera hats, umbrellas, fancy waistcoats, sweaters. At all three stores. About 100 double breasted reefers sizes 3 7 of which over _ were $9 to $12. About 100 three piece suits, sizes 11 to which were $3 to $11. Also 25 overcoats, sizes 6 and 7 all of which wore $9 and $12. All at one store. Rogers, Peet & Company.  ",1905,0
"GRAND RAPIDS FURNITURE From manufacturerãdirect to you. FOR THE HOLIDAYS Writing desks of unique and antique design. Music Cabinets China closets in effects that are pronounced and patterns that are full of simplicity. Buffets in Colonial, Chippendale, Sheraton, Continental, English, Feather and Leaf. Morris chairs with Spanish leather cushions at moderate cost.  ",1905,0
"Motor cars (cabs) New York Transportation Co, ",1906,0
"Made by the mile _ Sold by the foot. Office partitions of quality what you want tomorrow. Was ready yesterday. Come to-day and look at it. Mount & Robertson, Makes  ",1907,0
Gift Slippers For Men and Boys Unrivalled assortment of Mens and Boys Slippers and Pumps in various designs and leathers. Mens Slippers $1.50 to $4.00 Mens Pumps 3.50 to 6.00 Boys Slippers 1.25 to 2.00 Boys Pumps 2.25 and 2.50 Not Open Evenings  No Branch Store Alexander ,1907,0
"Diamonds watches A COMPLETE ASSORTMENT OF Diamonds, Watches and Jewelry in Great Variety. American Watch & Diamond Company ONLY RELIABLE, UP-TO-DATE GOODS. EASY PAYMENTS. No Employers references necessary.  Will send representative If desired.  ",1907,0
"SMALL RENTING PIANOS Little dainty uprights: big tone; many new. Rents $3 month up. Baby Grand, Player, Transposing and used pianos very low prices. LAMES & HOLMSTROM ",1908,0
"DO NOT BUY GLASSES AS YOU DO RIBBONS-OVER A COUNTER. When you buy eyeglasses by merely trying on different pairs out of a tray full until you think you  require  - you invariably get just what you should not have. You need the conscientious advice of a Registered Physician and the services of a thoroughly capable optician. The first to property examine and prescribe for you, the second to correctly fill the OCULISTS prescription. We give you the services of both OCULIST and OPTICIAN _ without a divided responsibility, for the cost of glasses only. $1 glasses that are worth $1, and $3 glasses that are worth $3. M.H.Harris ",1908,0
"FOR SALE. ã SECOND-HAND MUSIC, opera scores, oratorios, symphonies, and other classical music, vocal, instrumental, and choral; new things every- day: we buy music.  FOR SALE. ã DE LUXE EDITION OF Oscar Wildes writings; 13 volumes, some uncut; cost 5262.50; price 5100; collection foreign bookplates, 300, fine specimens of the engravers art. $100.  ",1910,0
J. Ehrlich & Sons No matter what you pay for glasses anywhere Youll find that Erlich methods accomplish most for you because all eye examinations are made By Registered Physicians We charge for glasses only. Perfect-fitting glasses as low as $2.50 Oculists and Opticians ,1910,0
"Womens $2.90 Silk Undervests, $1.39 An economy item which offers luxurious silk Vests to women for a modest price. Of a lustrous Milanese silk, with the daintiest of hemstitched tops, in white only, finished with silk ribbons.  ",1910,0
"CARUSO World-famous Tenor says: Tuxedo completely satisfies my tobacco taste. It is mild and has a delicious flavor. Most important of all, from a singers standpoint, Tuxedo does not irritate my throat. Tuxedo Does Not Irritate My Throat The non-irritating quality of Tuxedo which Caruso is due to the original praises is due to the original Tuxedo Process by which the tobacco is treated. This process refines the tobacco and absolutely removes all bite and sting. Many thousands of men think they cannot smoke a pipe, for fear the tobacco might bum or parch their mouths. Tuxedo has absolutely done away with any such possibility. You can smoke Tuxedo all day long, pipeful after pipeful, without any irritation whatsoever _ indeed, with increasing pleasure. Tuxedo is made from rich, mild, fragrant Kentucky Burleyãacknowledged to be the finest pipe- tobacco in the worldãaged until it is pipe- perfect and smokes coolly and slowly. No pains, brains or money is spared to make Tuxedo the best of the best. Beyond the shadow of a doubt it stands at the head of them all. You just try weekãand begin today. YOU CAN BUY TUXEDO EVERYWHERE Convenient Pouch, inner-lined with moisture-proof paper 5c. In Tin Humidors 40c and 80c Famous Green Tin with gold lettering, curved to fit pocket 10c. In Glass Humidors 50c and 90c THE AMERICAN TOBACCO COMPANY The Perfect Tobacco for Pipe and Cigarette  ",1914,0
"A study of our windows this week will reveal the secrets of a most successful season in young mens clothes. Inside, youll find that the mental picture youve made of yourself in this or that suit will have developed into a quick realization that getting fitted was quite the easiest thing you ever did. Up to 42 chest that slim, smart look is yours. Special models for stocky builds; special models for big shoulders and big hips; models for our slimmer friends too. Young mens suits, $18 to $38. Young mens overcoats, $28 to $38. Rogers ____ Company Three Broadway Stores   ",1914,0
"Dont play hide and seek with office data. Keep it in sight, not hidden in files and pigeon-holes and boxes. Investigate the various models of RAND VISIBLE SYSTEMS Credit men of Department Stores use them for quick reference of credit standing; Bank Tellers for verifying- signatures; Buyers for price lists; Public Service Corporations and Railroads for many purposes. Rand Visible Systems are made in all sizes adaptable to every business and save an enormous amount of time. Thousands in use. Telephone for demonstration. Stuyvesant 2462. The RAND Company  ",1915,0
Reo motor car stock H. I. Nicholas & CO. ,1915,0
"Twelve years before the first stage-coach started to Greenwich from Bakers Tavern at the corner of Wall and New streets, Carstairs Rye was a favorite refreshment for travelers. Present-day New Yorkers are no less appreciative of the quality of this pure, mellow brand. Carstairs Rye ",1917,0
" Antique Gild Duplex Photograph Frame, $12.75 GREETING It is our hope that the gifts you have received from Ovingtons have added a little to the joy of Christmas Day. OVINGTONS ",1920,0
Roth & Apparel Ladies Hatters Randa ,1925,0
"Pommery Sec and Brut The Standard for champagne quality The Best Champagne That Care, Experience and Money can Ptoduce ",1925,0
"This Clearaway In the Little French Salon Gives a Fascinating Selection As It Is Composed of One-of-kind Paris Frocks $15 WERE $25 TO $35 $25 WERE $39.50 TO $55 $45 WERE $59.50 TO $85 Frocks of every hour of the day and evening! Silk frocks! Cloth frocks! A few of the evening frocks are in exquisite pastel tonesã others are more vivid! Frocks for town wearãand a few for the Southland. Incomplete sizes, but all from 36 to 42 are included.  ",1927,0
"Stewart & Co. Correct Apparel for Women & Misses Paris Cables ã Flowered Chiffons. For Evening. 149.50 Featuring: - floating scarfs, dipping hemlines, raised waistlines, godet flares WHEN shadows lengthen the flowers that bloom on airy chiffon frocks grow larger, more exotic in pattern. And chiffon, light as thistledown lends itself with charming softness to the new fluttery features of the more feminine silhouette. NOTE! Clear, gossamer sheer evening hose of all silk chiffon in correct blending colors. 3.50  ",1928,0
"FROM OUR PARIS HOUSE Six New Hats By Rose Descat An important collection...revealing a new and different version of feminine elegance...the all-important note in hats for Spring. Rose Descat...a genius of little details...gives exquisite expression to this new feeling...with hand- drawnwork in straw!...infinitesimal tuckings...new treatment of ribbons. She has a decided preference for natural ballibuntl...but the little felt hat is still a favorite. Reproductions will be made to your special order...by our Parisienne Premiere...starting at $18 in felt. WANAMAKERSãSecond floor, old building  ",1928,0
"GOOD TO THE LAST DRAPE Remember the pre-war Drape (around a lamp post)? And the Earl Carroll Un-Drape (in a bathtub)? Well, now comes the English Drape, the most marked change in men's styles since Beau Brummell was a lad. Suits are all $28, individually cut to measure...from stock $26 ... manufacturer's (sincere) price. Worth about $15 moreãnot $95. MERVIN S. LEVINE  ",1932,0
"National art galleries, inc. Auctioneers and appraisers Rose Room-Hotel Plaza Sale at Public Auction This afternoon at 2 p.m. Concluding session A collection of fine xvii & xviii century English furniture & contemporary decorations ",1932,0
"SPOON SMART Its smart to eat Kelloggs Rice Krispies any time. And your taste welcomes every spoonful of those crisp, crunchy babbles that crackle in milk or cream. Nourishing and easy to digest. Serve them at the nursery supper or at bedtime because they promote restful sleep. Order Rice Krispies today. Sold by grocers everywhere in the the Mother Goose story package that children love. Quality guaranteed. Made by Kellogg in Battle Creek. Kelloggs Rice Krispies! Listen! _ get hungry ",1935,0
The Story of Civilization  By Will Durant 2 Volumes  Price $3 Simon and Schuster Inc.  By Rose Wilder Lane GIVE ME LIBERTY A book that makes you proud of being on American Longmans  50c. ,1936,0
"Saks fifth avenue THIS SAKSETTE does nice things for the overage figure It hasnt a bone to its name, yet it does smooth firm things to the figure that needs just a little restraint. Back is extremely low; brassiere is extremely lacy and uplifting. Of superfine silk batiste and imported hand-loomed elastic. FOURTH FLOOR Grand elegance for your big evenings A FOAMING SEA OF NET. White, watermelon 135.00. Posies for the hair. 3.00  DIRECTOIRE LINE in grey crepe and gilt sequins 125.00. Gilt paillette flowers for the hair 2.50  BRONZE-GOLD LAME. 125.00. On the headãblack and gilt calla lilies 2.50 Dresses, Fifth Floor Head-dresses, Street Floor ' "" \  ",1937,0
"Sterling silver gifts exquisitely chased. Bowl, 10 _ dia., $20; sandwich plates, 10 _ dia., $20. To Ovingtons! _ Invited guests _ Where wedding gifts. Are at their best. OVIGTONS  ",1937,0
"Natures Protective Blending protects the Pheasant CALVERTS PROTECTIVE BLENDING protects the flavour and good taste of Calvert Whiskey. It wouldnt take a hawk long to spot pheasants if they were out in the open like this.  So the wise birds rear their young in the Protective Blending of good heavy cover. You be the judge. Try Calvert in your favourite cocktail or highball. Find out for yourself just what our exclusive method of Protective Blending does for this famous whiskey. Then youll know why so many men insist on Calvertãwhy they say it adds so much to their drinking enjoyment all-ways, thanks to Protective Blending. Clear hears (CLEAR-HEADED BUYERS) Calvert BLENDED WHISKEY Calvert ""Reserve: 90 Proofã65% Grain Neutral Spirits.. . Calvert ""Special"": 90 Proof ã72 _% Grain Neutral Spirits, Copyright 1940, Calvert Distillers Corporation, New York City.  ",1940,0
" B. ALTMAN & CO.  breakfast for two  and your quilted, finger-tip length rayon taffeta breakfast coat is tightly tied over a matching flower-strewn rayon gown! So beautifully madeÄ the robe is even lined in swishy rayon taffeta. Ensemble in blue, pale pink, white. Sizes 12 to 20. second floor    set 10.95     B. Altman & Co., Fifth Avenue at 34th Street ",1941,0
"Classic Answer This above all for college... indispensable jacket and skirt of Stroocks soft herringbone tweed. Blue, green, natural, sizes 12 to 18. The new, loose and boxy jacket as you like them, $29.75. The skirt, and its a ""knockout $13.75. Umbrella-size felt hat, $12.75. Abercrombie & Fitch co. ",1941,0
"TRUCKS  AUTOCAB 39, A, 3-ton closed 16 body, gd cond.  bROCKWAY 175X with trucktor third axle, refrigerated 16 body, gd cond. Kevil, Ruther-ford (N J) 2-4868.  CHEVROLET, 37, _-ton panel. Call for appointment. EV 4-8695.  1939, 1 _-ton Diamond-T truck with body: truck can be seen at Harben Garages, 1457 39 St, Bklyn. WI 8-8888.  FOR SALE, 1940 Ford, 22 long, van body truck. Arrow Corrugated Container Corp. 294 Ellery St. Bklyn.  1942 & 1943 GMC vans, dumps, racks. Clay-ton Motors. Oradell 8-2008.  1 _ TON 1941 International Model K5, 126 semi-refrigerated body. Circle 6-8383.  MOBILIFT Ford trucks, 36 blades. Gardner Warehouse. CI 5-9180.  DRY ice refrigerated truck, _ ton. 1231 Spof-ford Av. Bronx. DA 9-5155.  1938 GMO, 3-ton, 20-ft box body; reasonable. Randall. FA 4-7112. ",1946,0
" St. Camera Man, BR9-4245  CELLOPHANE,   #300 MST, large quantities for sale. P1089 Times Downtown.  CELLULOSE acetate sheets, wash clean, 17 x42 x.0007.TA3-0250.  CLOTHING, used, large quantites; export. Also surplus Army goods; immediate delivery. CA6-0187. ",1946,0
"EXPORT SPECIAL colored pearl earrings, $2.50 gr; metal back earrings, $9 gr; metal, plastic brooches from $9 gr. Haber, 22 W 21st. CH 2-3290.  JOBBERS & SALES REPRESENTATIVES Mfr offers new fall line popular priced smartly tailored costume jewelry. Greenleaf. 197 Mulberry St. Newark. N J. ",1946,0
"ENGLISH Rolls Royce, 1934, town car, excellent condition. $2.750.  HUNTOON & RAFFO 238oW 55 ST     CI    7-3990 ",1946,0
"Manhattan  Canal to 34th St. PLENTY LOFTS Write LINSKY, Broker 603 6th Ave., N. Y. 11  Real Estate Wanted  WANTED TO LEASE Store or Store & Basement Up to 10,000 Sq. Ft. Canal St., or Below Write Particular to Box N 4 Times or Phone CH 4-5676  Houses-Manhattan & Bronx 90S, W. off Central Park. 12 rooms, 6 baths: $18,500; principals only. Owner. X2774 Times. MORRIS PARK. 3-family brick, corner, modern, garages, automatic gas heat: 2 apts available: ideal for doctor. dentist: price $20,000  Builder, TA 9-8789, 6-8 PM. WOODLAWN. Beautiful modern 2-family solid brick, oil, garages, large plot. & rooms vacant: $26,500, terms. DOnofrur. 353 E 149th; Bronx. MO 9-2075.  Houses-Brooklyn BENSONHURST. Possession of beautiful 6-room apt with enclosed porch & open terrace in a lovely 2-family detached house. 3-car garage, 30x100 plot, oil burner; 2d fl rented $65: near shopping, schools, transportation. Price $16,750 MAURICE J. ABRAMS CO. 2017 86 St. Bkyn (nr 20 Av) ES 2-7212 BORO PARK. 3-family detached; 3 porches; double garage; 7-room apartment available. GE 6-1045. Continued on Following Page  ",1947,0
"Report on the Suit Situation We wouldnt go so far as to say our selection of suits is as complete as it ever has been in all our 5 0 yearsãbut the selection we now offer is the best we have had in a very long time. Choice woolens, a wide range of shades, single-and double-breasted models. And, as always, our skilled custom-fitting. $55 to $85. Phillips  ",1947,0
"THE BLADE WITH THE MONEY BACK GUARANTEE Marlin BLADES Duble or Single EDGE 12 for 25c  Delicious, Delectable CANDIES STUNNING BASKETS GAY PACKAGES AND CHESTS Alice H. Thark  ",1947,0
"JoHN DAVID WHEN ITS COLD YOU NEED WARM COATS AND WE HAVE JUST  WHAT YOU WANT IN A GREAT ASSORTMENT  OF THE GENUINE Tough, water-repellent, wind-resistant fabrics with soft and warm linings of sheepskin, wool pile or luxurious dyed Mouton and soft, deep collars of pile or Mouton to bundle up around your ears when the cold winds bite! COMPARE!  SHEEP-LINED KLONDIKE CLOTH 48-IN. ULSTER $42.50 Soft, quilted sleeve lining, eather arm-pit shields, knitted wind cuffs, and laryed-lamb collar end lape Tan in 36 to 46 chest.  PILE-L1NED ALL-WOOL COVERT 48-IN. ULSTER $69.50 Lined throughout with jeep all-wool pile, including sleeves, with large collar and lapels to match the lining Tan in 36 to 46 cheat. SHEEP-LINED KLONDIKE CLOTH 36-IN. COAT $35 Soft, quilted sleeve lining, knitted wind cuffs, and large dyed-lamb collar and lapels. Tan in 36 to 46 chest.  PILE-LINED COTTON TWILL 36-IN. COAT $35 Soft, quilted sleeve lining, knitted wind cuffs and large alpaca pile collar and lapels to match the lining. Tan in 36 to 46 cheat.  DYED-MOUTON-LINED COTTON GABARDINE 36-IN. COAT $52.50 Sleeves are leather lined covered with rayon and have knitted wind cufts. Mouton collar and lapels.  Tan in 36 to 46 cheat. PILE-LINED BEACHEAD CLOTH BLOUSE $23.95 Zipper fastener, warmly-lined sleeves, knitted bottom and cuffs, alpaca eollar to match lining. Tan in 36 to 46 chest.  ",1947,0
Kobber Electric Shaver Made in Switzerland $32.50 $37.50 ,1950,0
"Give him, Forstmann KnitwearÄthats Christmas For more than seven generations, the name Forstmann has signified leadership in wool fabrics. It is now identified with this superb knitwear, scientifically treated to repel moths for life. Cashmere Pullover Sweater. $19.50  Cashmere Sleeveless Pullover. 15.00 75% Cashmere, 25% Nylon Rib Short Hose 2.75 Take A Leaf From Santa's Book A LEIGHTON GIFT CERTIFICATE Mail and Phone Orders Leughtons  ",1950,0
"Hattie Carneqie Our Exclusive silk in polka dots, prints and shantungs. Sizes 10-18 from $25 to $55. $5 plus fed tax ",1951,0
